search URL:,https://patents.google.com/?q=%28%22attractor%22+OR+%22potential+well%22+OR+%22nonlinear+dynamics%22%29+AND+%28%22mental+health%22+OR+%22anxiety%22+OR+%22addiction%22+OR+%22rumination%22+OR+%22well-being%22%29+AND+%28%22biosensor%22+OR+%22wearable%22+OR+%22digital+phenotyping%22+OR+%22voice+analysis%22%29+AND+%28%22intervention%22+OR+%22modulation%22+OR+%22therapy%22+OR+%22personalized%22%29&oq=%28%22attractor%22+OR+%22potential+well%22+OR+%22nonlinear+dynamics%22%29+AND+%28%22mental+health%22+OR+%22anxiety%22+OR+%22addiction%22+OR+%22rumination%22+OR+%22well-being%22%29+AND+%28%22biosensor%22+OR+%22wearable%22+OR+%22digital+phenotyping%22+OR+%22voice+analysis%22%29+AND+%28%22intervention%22+OR+%22modulation%22+OR+%22therapy%22+OR+%22personalized%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9254383-B2,Devices and methods for monitoring non-invasive vagus nerve stimulation ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico",2009-03-20,2013-04-28,2016-02-09,2016-02-09,https://patents.google.com/patent/US9254383B2/en,https://patentimages.storage.googleapis.com/c0/21/eb/555273f9db802b/US09254383-20160209-D00000.png
US-10220207-B2,Nerve stimulation methods for averting imminent onset or episode of a disease ,"Electrocore, Inc.","Bruce J. Simon, Joseph P. Errico, John T. Raffle",2009-03-20,2012-10-19,2019-03-05,2019-03-05,https://patents.google.com/patent/US10220207B2/en,https://patentimages.storage.googleapis.com/da/07/08/5b43e7ccd558fb/US10220207-20190305-D00000.png
KR-102678923-B1,Mobile wearable monitoring systems ,데이비드 버톤,데이비드 버톤,2015-01-06,2016-01-06,2024-06-26,2024-06-26,https://patents.google.com/patent/KR102678923B1/en,
EP-4460229-A1,Sensing system with features for determining physiological metrics of a subject and for predicting electrophysiological events of a subject ,Neurogeneces Inc.,"Marko Sarlija, III Michael Kenneth COMERFORD, Karen Crow",2022-04-22,2023-04-20,2024-11-13,,https://patents.google.com/patent/EP4460229A1/en,
EP-3145585-B1,Non-invasive nerve stimulation via mobile devices ,"electroCore, Inc.","Joseph P. Errico, Steven Mendez, Bruce J. Simon",2014-05-20,2015-05-20,2021-11-03,2021-11-03,https://patents.google.com/patent/EP3145585B1/en,https://patentimages.storage.googleapis.com/47/6b/8f/5c79870027e453/imgf0001.png
US-2023398352-A1,Nerve stimulator for use with a software application ,"Electrocore, Inc.","Joseph P. Errico, Steven Mendez, Bruce J. Simon",2013-01-15,2023-08-15,2023-12-14,,https://patents.google.com/patent/US20230398352A1/en,https://patentimages.storage.googleapis.com/3c/6f/ab/41dd3c6034f518/US20230398352A1-20231214-D00000.png
US-11406825-B2,Mobile phone for treating a patient with dementia ,"Electrocore, Inc","Joseph P. Errico, Steven Mendez, Bruce J. Simon",2013-01-15,2019-05-20,2022-08-09,2022-08-09,https://patents.google.com/patent/US11406825B2/en,https://patentimages.storage.googleapis.com/6e/e8/7d/2ba33a1a068bcc/US11406825-20220809-D00000.png
US-11679258-B2,Stimulator for use with a mobile device ,"Electrocore, Inc.","Joseph P. Errico, Steven Mendez, Bruce J. Simon",2013-01-15,2022-08-10,2023-06-20,2023-06-20,https://patents.google.com/patent/US11679258B2/en,https://patentimages.storage.googleapis.com/c7/79/55/8a8599db750eca/US11679258-20230620-D00000.png
US-11298062-B2,Multi-purpose interactive cognitive platform ,Conflu3Nce Ltd,Tami Robyn Ellison,2017-02-01,2020-01-24,2022-04-12,2022-04-12,https://patents.google.com/patent/US11298062B2/en,https://patentimages.storage.googleapis.com/00/84/9a/c08dfa654aae71/US11298062-20220412-D00000.png
US-9808709-B2,"System and methods for biometric detection of play states, intrinsic motivators, play types/patterns and play personalities ",PlayNovation LLC,"Kristen Cozad, Stuart Brown",2013-09-27,2015-10-13,2017-11-07,2017-11-07,https://patents.google.com/patent/US9808709B2/en,https://patentimages.storage.googleapis.com/26/2b/dd/143eab8c1ffa4e/US09808709-20171107-D00000.png
US-11328822-B2,Multi-purpose interactive cognitive platform ,Conflu3Nce Ltd,Tami Robyn Ellison,2017-02-01,2019-08-23,2022-05-10,2022-05-10,https://patents.google.com/patent/US11328822B2/en,https://patentimages.storage.googleapis.com/dc/7b/0d/b8ecc93dff41a3/US11328822-20220510-D00000.png
US-9427581-B2,Devices and methods for treating medical disorders with evoked potentials and vagus nerve stimulation ,"ElectroCore, LLC","Bruce J. Simon, Joseph P. Errico",2013-04-28,2014-03-14,2016-08-30,2016-08-30,https://patents.google.com/patent/US9427581B2/en,https://patentimages.storage.googleapis.com/6e/24/dc/78193bea96f87f/US09427581-20160830-D00000.png
US-2020246617-A1,Systems and methods for reducing an inflammatory response ,"Electrocore, Inc.","Joseph P. Errico, Francis R. Amato, Steven M. Mendez, Hecheng Hu, Bruce J. Simon",2009-03-20,2020-04-21,2020-08-06,,https://patents.google.com/patent/US20200246617A1/en,https://patentimages.storage.googleapis.com/b1/87/92/afeff16195fbe7/US20200246617A1-20200806-D00000.png
